Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,Perc_WIDA_AGP,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI
2024,02,Clark,02094.1,Dickens ES,Regular,22,1,YES,37.8,28.2,5.5,YES,YES,NO,NO,NO,39.6,30.2,18.0,18.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.6,NO,N/A,NO,N/A,YES,1
2024,02,Clark,02095.1,Bailey ES,Regular,24,1,YES,36.9,27.9,5.8,YES,YES,NO,NO,NO,34.6,34.8,22.5,22.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.0,NO,N/A,YES,N/A,NO,N/A
2024,02,Clark,02096.1,Roundy ES,Regular,13,1,YES,20.4,19.3,<5,YES,YES,NO,NO,NO,18.8,20.1,35.8,35.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.6,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02097.1,Forbuss ES,Regular,47.5,2,NO,54.4,50.3,24.7,YES,YES,NO,NO,NO,47.4,42.9,42.1,42.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.1,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02098.1,Steele ES,Regular,45,2,NO,55.3,51.0,22.2,YES,YES,NO,NO,NO,55.3,39.4,43.3,43.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.1,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02099.1,Schorr ES,Regular,35.5,2,NO,48.8,42.0,17.5,YES,YES,NO,NO,NO,47.6,36.2,46.4,46.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.9,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02100.1,Ward Kitty ES,Regular,69.4,4,NO,57.7,54.7,26.5,YES,YES,NO,NO,NO,56.3,46.6,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.7,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02101.1,Blue Diamond ES,Regular,88.2,5,NO,82.3,88.2,-,-,N/A,NO,NO,NO,83.3,83.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.2,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02102.1,Goodsprings ES,Regular,5,Not Rated,YES,-,-,-,-,-,NO,NO,NO,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02103.1,Lundy ES,Regular,N/A,Not Rated,NO,N/A,N/A,N/A,N/A,N/A,NO,NO,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02104.1,Reid ES,Regular,43.3,Not Rated,YES,46.1,23.0,-,-,-,NO,NO,NO,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02105.1,King Martin ES,Regular,16,1,YES,22.2,14.8,<5,YES,YES,NO,NO,NO,27.2,12.1,28.7,28.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.0,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02106.1,Deskin ES,Regular,28.5,2,YES,38.3,29.4,14.9,YES,YES,NO,NO,NO,41.2,30.7,43.4,43.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.3,NO,N/A,NO,N/A,YES,1
2024,02,Clark,02107.1,Kim ES,Regular,20,1,YES,35.8,28.8,<5,YES,YES,NO,NO,NO,27.9,22.8,47.5,47.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.0,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02108.1,Beatty J ES,Regular,59,3,NO,57.0,38.5,14.6,YES,YES,NO,NO,NO,61.9,36.6,41.9,41.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.3,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02109.1,Christensen ES,Regular,34,2,YES,42.4,32.6,6.2,YES,YES,NO,NO,NO,42.6,24.0,51.6,51.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.7,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02110.1,Parson ES,Regular,29,2,YES,28.2,14.5,5.1,YES,YES,NO,NO,NO,40.6,14.1,54.7,54.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.1,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02111.1,Dooley ES,Regular,33.8,2,NO,50.3,44.7,13.7,YES,YES,NO,NO,NO,40.6,39.5,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.0,NO,N/A,NO,N/A,NO,N/A
