SCHOOL_ID,SCHOOL_YEAR,SCHOOL_NAME,TOTAL_ENROLLMENT,CHRONIC_ABSENTEEISM_RATE,ABSENTEEISM_TIER,ELA_PCT_PROFICIENT,ELA_SUPPRESSED,MATH_PCT_PROFICIENT,MATH_SUPPRESSED,DBT_UPDATED_AT
2090,2023,James E & A Rae Smalley Elementary School,707,10,Moderate,83,FALSE,74,FALSE,2026-06-23 16:30:42.783 -0700
2090,2024,James E & A Rae Smalley Elementary School,710,9,Low,85,FALSE,77,FALSE,2026-06-23 16:30:42.783 -0700
2091,2020,Dr Claude G Perkins Elementary School,550,27,High,32,FALSE,18,FALSE,2026-06-23 16:30:42.783 -0700
2091,2021,Dr Claude G Perkins Elementary School,580,50,Critical,28,FALSE,21,FALSE,2026-06-23 16:30:42.783 -0700
2091,2022,Dr Claude G Perkins Elementary School,564,46,Critical,19,FALSE,15,FALSE,2026-06-23 16:30:42.783 -0700
2091,2023,Dr Claude G Perkins Elementary School,572,40,Critical,27,FALSE,21,FALSE,2026-06-23 16:30:42.783 -0700
2091,2024,Dr Claude G Perkins Elementary School,546,37,Critical,25,FALSE,20,FALSE,2026-06-23 16:30:42.783 -0700
2092,2020,Innovations International Charter Elementary School,421,,Critical,21,FALSE,8,FALSE,2026-06-23 16:30:42.783 -0700
2092,2021,Innovations International Charter Elementary School,379,34,Critical,23,FALSE,11,FALSE,2026-06-23 16:30:42.783 -0700
2092,2022,Innovations International Charter Elementary School,407,46,Critical,25,FALSE,18,FALSE,2026-06-23 16:30:42.783 -0700
2092,2023,Innovations International Charter Elementary School,373,39,Critical,33,FALSE,22,FALSE,2026-06-23 16:30:42.783 -0700
2092,2024,Innovations International Charter Elementary School,365,36,Critical,37,FALSE,36,FALSE,2026-06-23 16:30:42.783 -0700
2093,2020,FuturEdge Academy Elementary School,352,17,Moderate,,FALSE,,FALSE,2026-06-23 16:30:42.783 -0700
