SCHOOL_ID,SCHOOL_NAME,REGION,ELA_FIRST_YEAR,ELA_LATEST_YEAR,ELA_FIRST_PCT,ELA_LATEST_PCT,ELA_OVERALL_CHANGE,MATH_FIRST_YEAR,MATH_LATEST_YEAR,MATH_FIRST_PCT,MATH_LATEST_PCT,MATH_OVERALL_CHANGE,COMPOSITE_OVERALL_CHANGE,ELA_YEARS_IMPROVED,ELA_YEARS_DECLINED,ELA_YEARS_MEASURED,MATH_YEARS_IMPROVED,MATH_YEARS_DECLINED,MATH_YEARS_MEASURED,COMPOSITE_YEARS_IMPROVED,COMPOSITE_YEARS_DECLINED,ELA_PEAK_YOY,MATH_PEAK_YOY,COMPOSITE_PEAK_YOY,CONSISTENCY_SCORE,IMPROVEMENT_SCORE,ELA_OVERALL_RANK,MATH_OVERALL_RANK,COMPOSITE_OVERALL_RANK,CONSISTENCY_RANK,ELA_PEAK_RANK,MATH_PEAK_RANK,COMPOSITE_PEAK_RANK,IMPROVEMENT_CATEGORY,OVERALL_IMPROVEMENT_RANK,REGIONAL_IMPROVEMENT_RANK
2162,Sue H Morrow Elementary School,Region 3,2020,2024,47,67,20,2020,2024,27,53,26,23.0,3,1,4,3,1,4,3,1,14,25,19.5,0.75,0.79,24,36,27,69,31,2,3,Consistently Improving,81,21
2090,James E & A Rae Smalley Elementary School,Region 3,2020,2024,69,85,16,2020,2024,51,77,26,21.0,3,1,4,3,1,4,3,1,11,22,16.5,0.75,0.78,45,36,36,69,62,4,11,Consistently Improving,84,22
2287,Elise L Wolff Elementary School,Region 3,2020,2024,59,75,16,2020,2024,47,72,25,20.5,3,1,4,3,1,4,3,1,15,21,18.0,0.75,0.778,45,43,39,69,20,8,5,Consistently Improving,86,23
2073,Lomie G Heard Elementary School,Region 3,2020,2024,37,47,10,2020,2024,17,48,31,20.5,2,1,4,4,0,4,3,1,7,12,9.5,0.75,0.778,118,8,39,69,166,80,98,Consistently Improving,86,23
2274,Sandy Searles Miller Elementary School,Region 3,2020,2024,38,52,14,2020,2024,20,47,27,20.5,3,1,4,3,1,4,3,1,9,20,14.5,0.75,0.778,67,28,39,69,104,13,28,Consistently Improving,86,23
2112,John F Mendoza Elementary School,Region 3,2020,2024,20,40,20,2020,2024,13,32,19,19.5,3,1,4,3,1,4,3,1,13,15,14.0,0.75,0.773,24,87,48,69,40,38,29,Consistently Improving,91,26
2296,Marion B Earl Elementary School,Region 3,2020,2024,31,46,15,2020,2024,12,36,24,19.5,3,1,4,3,1,4,3,1,12,12,9.0,0.75,0.773,59,49,48,69,47,80,114,Consistently Improving,91,26
2165,Manuel J Cortez Elementary School,Region 3,2020,2024,15,32,17,2021,2024,8,30,22,19.5,4,0,4,3,0,3,3,1,6,10,8.0,0.75,0.773,37,58,48,69,190,112,137,Consistently Improving,91,26
2126,David M Cox Elementary School,Region 3,2020,2024,49,63,14,2020,2024,32,56,24,19.0,3,0,4,3,1,4,3,1,7,17,12.0,0.75,0.77,67,49,53,69,166,25,47,Consistently Improving,95,29
2137,Selma F Bartlett Elementary School,Region 3,2020,2024,54,60,6,2020,2024,26,56,30,18.0,3,1,4,3,1,4,3,1,4,22,12.5,0.75,0.766,171,9,58,69,257,4,41,Consistently Improving,96,30
2122,Charlotte Hill Elementary School,Region 3,2020,2024,47,54,7,2020,2024,24,53,29,18.0,3,1,4,3,1,4,3,1,7,19,13.0,0.75,0.766,157,14,58,69,166,17,38,Consistently Improving,96,30
2127,Harriet Treem Elementary School,Region 3,2020,2024,46,52,6,2020,2024,19,48,29,17.5,3,1,4,3,1,4,3,1,4,21,11.0,0.75,0.763,171,14,65,69,257,8,68,Consistently Improving,100,32
2095,Sister Robert Joseph Bailey Elementary School,Region 3,2020,2024,27,38,11,2020,2024,11,33,22,16.5,2,1,4,4,0,4,3,1,11,12,11.5,0.75,0.758,100,58,81,69,62,80,55,Consistently Improving,106,33
2203,C C Ronnow Elementary School,Region 3,2020,2024,14,30,16,2020,2024,9,23,14,15.0,3,1,4,2,2,4,3,1,19,11,15.0,0.75,0.751,45,138,94,69,6,96,23,Consistently Improving,114,34
2166,Frank Lamping Elementary School,Region 3,2020,2024,67,74,7,2020,2024,47,68,21,14.0,3,1,4,3,1,4,3,1,8,11,8.0,0.75,0.746,157,68,101,69,135,96,137,Consistently Improving,117,35
2228,Mountain View Elementary School,Region 3,2020,2024,18,32,14,2021,2024,14,26,12,13.0,2,2,4,2,1,3,3,1,11,7,8.5,0.75,0.742,67,158,112,69,62,183,128,Consistently Improving,119,36
2208,E W Griffith Elementary School,Region 3,2020,2024,21,34,13,2020,2024,14,26,12,12.5,3,1,4,2,0,4,3,1,12,7,9.5,0.75,0.739,82,158,118,69,47,183,98,Consistently Improving,122,37
2062,Earl N Jenkins Elementary School,Region 3,2020,2024,39,45,6,2020,2024,22,41,19,12.5,2,1,4,3,1,4,3,1,5,12,8.0,0.75,0.739,171,87,118,69,226,80,137,Consistently Improving,122,37
2275,Oran K Gragson Elementary School,Region 3,2020,2024,21,35,14,2020,2024,12,23,11,12.5,3,1,4,3,1,4,3,1,11,6,8.0,0.75,0.739,67,179,118,69,62,202,137,Consistently Improving,122,37
2210,Halle Hewetson Elementary School,Region 3,2020,2024,15,26,11,2021,2024,8,21,13,12.0,3,1,4,3,0,3,3,1,5,6,5.5,0.75,0.737,100,152,130,69,226,202,205,Consistently Improving,132,40
2187,John R Hummel Elementary School,Region 3,2020,2024,26,34,8,2020,2024,15,29,14,11.0,2,1,4,3,1,4,3,1,9,8,8.5,0.75,0.732,139,138,149,69,104,157,128,Consistently Improving,140,41
2230,Glen C Taylor Elementary School,Region 3,2020,2024,55,60,5,2020,2024,44,60,16,10.5,2,2,4,2,1,4,3,1,6,13,9.5,0.75,0.73,183,117,154,69,190,63,98,Consistently Improving,144,42
2131,Kirk Adams Elementary School,Region 3,2020,2024,27,32,5,2020,2024,13,25,12,8.5,3,1,4,3,1,4,3,1,3,8,5.5,0.75,0.72,183,158,178,69,270,157,205,Consistently Improving,152,43
2353,Jack & Terry Mannion Middle School,Region 3,2020,2024,56,64,8,2020,2024,38,47,9,8.5,2,2,4,2,2,4,3,1,6,6,5.5,0.75,0.72,139,197,178,69,190,202,205,Consistently Improving,152,43
2064,Robert & Sandy Ellis Elementary School,Region 3,2020,2024,66,67,1,2020,2024,45,61,16,8.5,1,2,4,2,2,4,3,1,4,12,6.0,0.75,0.72,237,117,178,69,257,80,194,Consistently Improving,152,43
2155,Arturo Cambeiro Elementary School,Region 3,2020,2024,21,27,6,2020,2024,10,20,10,8.0,2,2,4,3,1,4,3,1,9,6,7.5,0.75,0.717,171,189,188,69,104,202,151,Consistently Improving,159,46
2344,Jack Lund Schofield Middle School,Region 3,2020,2024,36,45,9,2020,2024,14,21,7,8.0,3,1,4,3,0,4,3,1,10,4,6.0,0.75,0.717,130,218,188,69,87,244,194,Consistently Improving,159,46
2294,Stanford Elementary School,Region 3,2020,2024,27,39,12,2020,2024,11,33,22,17.0,2,2,4,3,1,4,2,1,16,14,15.0,0.67,0.713,91,58,72,187,16,49,23,Big Gains,166,48
2291,Sandy Valley Elementary School,Region 3,2021,2024,24,51,27,2021,2024,26,33,7,17.0,3,0,3,1,2,3,2,1,19,14,16.5,0.67,0.713,5,218,72,187,6,49,11,Big Gains,166,48
2318,Elton M Garrett Junior High School,Region 3,2020,2024,45,61,16,2020,2024,28,45,17,16.5,3,1,4,2,2,4,2,1,15,15,15.0,0.67,0.71,45,106,81,187,20,38,23,Big Gains,172,50
2297,Edna F Hinman Elementary School,Region 3,2020,2024,26,34,8,2021,2024,22,26,4,6.0,3,1,4,2,1,3,3,1,11,9,7.0,0.75,0.708,139,254,209,69,62,132,168,Consistently Improving,173,51
2282,William K Moore Elementary School,Region 3,2020,2024,23,26,3,2020,2024,13,20,7,5.0,2,2,4,3,1,4,3,1,3,6,4.0,0.75,0.703,219,218,222,69,270,202,251,Consistently Improving,178,52
2293,Clyde C Cox Elementary School,Region 3,2020,2024,21,25,4,2020,2024,8,13,5,4.5,3,1,4,2,0,4,3,1,3,3,2.5,0.75,0.701,204,238,229,69,270,259,284,Consistent but Flat,180,53
2354,Anthony Saville Middle School,Region 3,2020,2024,46,47,1,2020,2024,24,32,8,4.5,3,1,4,4,0,4,3,1,6,3,4.5,0.75,0.701,237,209,229,69,190,259,237,Consistent but Flat,180,53
2300,Ollie Detwiler Elementary School,Region 3,2020,2024,21,21,0,2020,2024,10,17,7,3.5,2,1,4,3,1,4,3,1,6,5,4.5,0.75,0.696,248,218,246,69,190,225,237,Consistent but Flat,186,55
