SCHOOL_ID,SCHOOL_NAME,REGION,SCHOOL_YEAR,ELA_PCT,ELA_PRIOR_YEAR,ELA_YOY_CHANGE,ELA_DIRECTION,MATH_PCT,MATH_PRIOR_YEAR,MATH_YOY_CHANGE,MATH_DIRECTION,COMPOSITE_PCT,COMPOSITE_YOY_CHANGE
2220,Laura Dearing Elementary School,Transformation Network,2022,24,16,8,Up,14,14,0,Flat,19.0,4.0
2220,Laura Dearing Elementary School,Transformation Network,2023,20,24,-4,Down,15,14,1,Up,17.5,-1.5
2220,Laura Dearing Elementary School,Transformation Network,2024,20,20,0,Flat,16,15,1,Up,18.0,0.5
2170,Joseph M Neal Elementary School,Region 1,2020,34,,,,26,,,,30.0,
2170,Joseph M Neal Elementary School,Region 1,2021,48,34,14,Up,35,26,9,Up,41.5,11.5
2170,Joseph M Neal Elementary School,Region 1,2022,40,48,-8,Down,34,35,-1,Down,37.0,-4.5
2170,Joseph M Neal Elementary School,Region 1,2023,50,40,10,Up,44,34,10,Up,47.0,10.0
2170,Joseph M Neal Elementary School,Region 1,2024,51,50,1,Up,43,44,-1,Down,47.0,0.0
2280,John C Bass Elementary School,Region 3,2020,41,,,,28,,,,34.5,
2280,John C Bass Elementary School,Region 3,2021,42,41,1,Up,36,28,8,Up,39.0,4.5
2280,John C Bass Elementary School,Region 3,2022,49,42,7,Up,44,36,8,Up,46.5,7.5
2280,John C Bass Elementary School,Region 3,2023,59,49,10,Up,47,44,3,Up,53.0,6.5
2280,John C Bass Elementary School,Region 3,2024,59,59,0,Flat,47,47,0,Flat,53.0,0.0
2344,Jack Lund Schofield Middle School,Region 3,2020,36,,,,14,,,,25.0,
2344,Jack Lund Schofield Middle School,Region 3,2021,41,36,5,Up,14,14,0,Flat,27.5,2.5
2344,Jack Lund Schofield Middle School,Region 3,2022,27,41,-14,Down,15,14,1,Up,21.0,-6.5
2344,Jack Lund Schofield Middle School,Region 3,2023,35,27,8,Up,19,15,4,Up,27.0,6.0
2344,Jack Lund Schofield Middle School,Region 3,2024,45,35,10,Up,21,19,2,Up,33.0,6.0
2323,Walter Johnson Junior High School Academy of International Studies,Region 3,2020,47,,,,27,,,,37.0,
2323,Walter Johnson Junior High School Academy of International Studies,Region 3,2021,54,47,7,Up,31,27,4,Up,42.5,5.5
2323,Walter Johnson Junior High School Academy of International Studies,Region 3,2022,48,54,-6,Down,29,31,-2,Down,38.5,-4.0
2323,Walter Johnson Junior High School Academy of International Studies,Region 3,2023,47,48,-1,Down,30,29,1,Up,38.5,0.0
2323,Walter Johnson Junior High School Academy of International Studies,Region 3,2024,52,47,5,Up,33,30,3,Up,42.5,4.0
2286,Ethel W Staton Elementary School,Region 2,2020,69,,,,54,,,,61.5,
2286,Ethel W Staton Elementary School,Region 2,2021,73,69,4,Up,69,54,15,Up,71.0,9.5
2286,Ethel W Staton Elementary School,Region 2,2022,63,73,-10,Down,65,69,-4,Down,64.0,-7.0
2286,Ethel W Staton Elementary School,Region 2,2023,65,63,2,Up,63,65,-2,Down,64.0,0.0
2286,Ethel W Staton Elementary School,Region 2,2024,71,65,6,Up,66,63,3,Up,68.5,4.5
2129,Helen Herr Elementary School,Transformation Network,2020,15,,,,6,,,,10.5,
2129,Helen Herr Elementary School,Transformation Network,2021,23,15,8,Up,14,6,8,Up,18.5,8.0
2129,Helen Herr Elementary School,Transformation Network,2022,29,23,6,Up,28,14,14,Up,28.5,10.0
2129,Helen Herr Elementary School,Transformation Network,2023,29,29,0,Flat,23,28,-5,Down,26.0,-2.5
2129,Helen Herr Elementary School,Transformation Network,2024,37,29,8,Up,34,23,11,Up,35.5,9.5
2777,Clark County Detention Center JR/SR High School,Alternative,2022,,,,,,,,,,
2354,Anthony Saville Middle School,Region 3,2020,46,,,,24,,,,35.0,
2354,Anthony Saville Middle School,Region 3,2021,49,46,3,Up,27,24,3,Up,38.0,3.0
2354,Anthony Saville Middle School,Region 3,2022,39,49,-10,Down,28,27,1,Up,33.5,-4.5
2354,Anthony Saville Middle School,Region 3,2023,41,39,2,Up,29,28,1,Up,35.0,1.5
2354,Anthony Saville Middle School,Region 3,2024,47,41,6,Up,32,29,3,Up,39.5,4.5
2176,Neil C Twitchell Elementary School,Region 3,2020,60,,,,47,,,,53.5,
2176,Neil C Twitchell Elementary School,Region 3,2021,62,60,2,Up,53,47,6,Up,57.5,4.0
2176,Neil C Twitchell Elementary School,Region 3,2022,62,62,0,Flat,63,53,10,Up,62.5,5.0
2176,Neil C Twitchell Elementary School,Region 3,2023,65,62,3,Up,61,63,-2,Down,63.0,0.5
2176,Neil C Twitchell Elementary School,Region 3,2024,72,65,7,Up,69,61,8,Up,70.5,7.5
2322,Mike OCallaghan Middle School i3 Learn Academy,Region 3,2020,42,,,,29,,,,35.5,
2322,Mike OCallaghan Middle School i3 Learn Academy,Region 3,2021,57,42,15,Up,38,29,9,Up,47.5,12.0
2322,Mike OCallaghan Middle School i3 Learn Academy,Region 3,2022,58,57,1,Up,42,38,4,Up,50.0,2.5
2322,Mike OCallaghan Middle School i3 Learn Academy,Region 3,2023,58,58,0,Flat,42,42,0,Flat,50.0,0.0
2322,Mike OCallaghan Middle School i3 Learn Academy,Region 3,2024,60,58,2,Up,45,42,3,Up,52.5,2.5
2236,Rex Bell Elementary School,Region 2,2020,25,,,,9,,,,17.0,
2236,Rex Bell Elementary School,Region 2,2021,27,25,2,Up,15,9,6,Up,21.0,4.0
2236,Rex Bell Elementary School,Region 2,2022,28,27,1,Up,18,15,3,Up,23.0,2.0
2236,Rex Bell Elementary School,Region 2,2023,22,28,-6,Down,17,18,-1,Down,19.5,-3.5
2236,Rex Bell Elementary School,Region 2,2024,25,22,3,Up,18,17,1,Up,21.5,2.0
2615,Explore Knowledge Academy Elementary School,Charter,2020,46,,,,20,,,,33.0,
2615,Explore Knowledge Academy Elementary School,Charter,2021,54,46,8,Up,17,20,-3,Down,35.5,2.5
2615,Explore Knowledge Academy Elementary School,Charter,2022,57,54,3,Up,20,17,3,Up,38.5,3.0
2615,Explore Knowledge Academy Elementary School,Charter,2023,54,57,-3,Down,30,20,10,Up,42.0,3.5
2615,Explore Knowledge Academy Elementary School,Charter,2024,60,54,6,Up,37,30,7,Up,48.5,6.5
2364,FuturEdge Academy Middle School,Region 1,2020,11,,,,,,,,11.0,
2364,FuturEdge Academy Middle School,Region 1,2021,,11,,,,,,,,
2364,FuturEdge Academy Middle School,Region 1,2022,24,,,,,,,,24.0,
2364,FuturEdge Academy Middle School,Region 1,2023,18,24,-6,Down,,,,,18.0,-6.0
2364,FuturEdge Academy Middle School,Region 1,2024,28,18,10,Up,,,,,28.0,10.0
