organization_code,school_name,address,city,state,zip_code
2178,Tony Alamo Elementary School,7455 El Camino Rd.,Las Vegas,NV,89139
2179,Eileen B Brookman Elementary School,6225 E. Washington Ave.,Las Vegas,NV,89110
2180,Steve and Linda Cozine Elementary School,5335 Coleman St.,N. Las Vegas,NV,89031
2181,Roger D Gehring Academy of Science and Technology Elementary School,1155 E Richmar Ave,Las Vegas,NV,89123
2182,Mervin Iverson Elementary School,1575 S. Hollywood Blvd.,Las Vegas,NV,89142
2183,J Marlan Walker International School Elementary School,850 Scholar St.,Henderson,NV,89002
2184,Eileen Conners Elementary School,3810 Shadow Peak St.,Las Vegas,NV,89129
2185,Linda Rankin Givens Elementary School,655 Park Vista Dr.,Las Vegas,NV,89138
2186,Judy & John L Goolsby Elementary School,11175 W. Desert Inn Rd.,Las Vegas,NV,89135
2187,John R Hummel Elementary School,9800 Placid St.,Las Vegas,NV,89183
2188,William & Mary Scherkenbach Elementary School,9371 Iron Mountain Rd.,Las Vegas,NV,89143
2189,Eva G Simmons Elementary School,2328 Silver Clouds Dr.,N. Las Vegas,NV,89031
2190,Wayne N Tanaka Elementary School,9135 W. Maule Ave.,Las Vegas,NV,89148
2191,John Tartan Elementary School,3030 E. Tropical Pkwy.,N. Las Vegas,NV,89081
2192,Joseph E Thiriot Elementary School,5700 W. Harmon Ave.,Las Vegas,NV,89103
2193,Kathy L Batterman Elementary School,10135 W. Quail Ave.,Las Vegas,NV,89148
2194,Aldeane Comito Ries Elementary School,9805 S. Lindell Rd.,Las Vegas,NV,89141
2195,Liliam Lujan Hickey Elementary School,2450 N. Hollywood Blvd.,Las Vegas,NV,89156
2196,Jay W Jeffers Elementary School,2320 Clifford St.,Las Vegas,NV,89115
2197,Theron H & Naomi D Goynes Elementary School,3409 Deer Springs Way,N. Las Vegas,NV,89084
2198,Sandra L Thompson Elementary School,7351 N. Campbell Rd.,Las Vegas,NV,89149
2199,Don E Hayden Elementary School,150 W. Rome Blvd.,N. Las Vegas,NV,89084
2200,William V Wright Elementary School,8425 Bob Fisk Ave.,Las Vegas,NV,89178
2201,Bertha Ronzone Elementary School,5701 Stacey Ave.,Las Vegas,NV,89108
2202,Mabel Hoggard Elementary School,950 N. Tonopah Dr.,Las Vegas,NV,89106
2203,C C Ronnow Elementary School,1100 Lena St.,Las Vegas,NV,89101
2204,C P Squires Elementary School,1312 E. Tonopah Ave.,N. Las Vegas,NV,89030
2205,Crestwood Elementary School,1300 Pauline Way,Las Vegas,NV,89104
2206,CVT Gilbert Elementary School,2101 W. Cartier Ave.,N. Las Vegas,NV,89032
2207,Doris Hancock Elementary School,1750 Lindell Rd.,Las Vegas,NV,89146
2208,E W Griffith Elementary School,324 Essex Dr.,Las Vegas,NV,89107
2209,Fay Herron Elementary School,2421 N. Kenneth Rd.,N. Las Vegas,NV,89030
2210,Halle Hewetson Elementary School,701 N. 20th St.,Las Vegas,NV,89101
2211,Kermit R Booker Sr Elementary School,2277 N. MLK Blvd.,Las Vegas,NV,89106
2212,Ira J Earl Elementary School,4620 E. Monroe Ave.,Las Vegas,NV,89110
2213,J E Manch Elementary School,4351 Lamont St.,Las Vegas,NV,89115
2214,J M Ullom Elementary School,4869 E. Sun Valley Dr.,Las Vegas,NV,89121
2215,John F Miller ,3840 Pecos-McLeod Interconnect,Las Vegas,NV,89121
2216,John S Park Elementary School,931 Franklin Ave.,Las Vegas,NV,89104
2217,Jo Mackey Elementary School,2726 Englestad St.,N. Las Vegas,NV,89030
2218,J T McWilliams Elementary School,1315 Hiawatha Rd.,Las Vegas,NV,89108
2219,Helen Anderson Toland International Academy,"1735 ""D"" St.",Las Vegas,NV,89106
2220,Laura Dearing Elementary School,3046 Ferndale St.,Las Vegas,NV,89121
2221,Lewis E Rowe Elementary School,4338 S. Bruce St.,Las Vegas,NV,89119
2222,Lincoln Elementary School,3010 Berg St.,N. Las Vegas,NV,89030
2223,Lois Craig Elementary School,2637 E. Gowan Rd.,N. Las Vegas,NV,89030
2224,Wendell Williams Elementary School,"1030 ""J"" St.",Las Vegas,NV,89106
2225,Marion Cahlan Elementary School,2801 Ft. Sumter Dr.,N. Las Vegas,NV,89030
2226,Matt Kelly Elementary School,"1900 N. ""J"" St.",Las Vegas,NV,89106
2228,Mountain View Elementary School,1810 Shaner Ln.,Las Vegas,NV,89156
2230,Glen C Taylor Elementary School,2655 Siena Heights Dr.,Henderson,NV,89052
2231,O K Adcock Elementary School,6350 Hyde Ave.,Las Vegas,NV,89107
2232,Paradise Professional Development Elementary School,900 Cottage Grove Ave.,Las Vegas,NV,89119
2233,Paul E Culley Elementary School,1200 N. Mallard St.,Las Vegas,NV,89108
2234,Quannah McCall Elementary School,800 E. Carey Ave.,N. Las Vegas,NV,89030
2235,Red Rock Elementary School,408 Upland Blvd.,Las Vegas,NV,89107
2236,Rex Bell Elementary School,2900 Wilmington Way,Las Vegas,NV,89102
2237,Robert E Lake Elementary School,2904 Meteoro St.,Las Vegas,NV,89169
2238,Rose Warren Elementary School,6451 Brandywine Way,Las Vegas,NV,89107
2239,Ruby S Thomas Elementary School,1560 E. Cherokee Ln.,Las Vegas,NV,89169
2240,,7701 Ducharme Ave,Las Vegas,NV,89145
2241,Sunrise Acres Elementary School,211 N. 28th St.,Las Vegas,NV,89101
2242,Tom Williams Elementary School,3000 E. Tonopah Ave.,N. Las Vegas,NV,89030
2243,Twin Lakes Elementary School,1205 Silver Lake Dr.,Las Vegas,NV,89108
2244,Vail Pittman Elementary School,6333 Fargo Ave.,Las Vegas,NV,89107
2245,Vegas Verdes Elementary School,4000 El Parque Ave.,Las Vegas,NV,89102
2246,Walter Bracken Elementary School,2712 Searles Ave.,Las Vegas,NV,89101
2247,Howard Wasden Elementary School,2831 Palomino Ln.,Las Vegas,NV,89107
2248,Will Beckley Elementary School,3223 S. Glenhurst Dr.,Las Vegas,NV,89121
2249,Gordon McCaw Elementary School,330 Tin St.,Henderson,NV,89015
2250,Andrew Mitchell Elementary School,900 Avenue B,Boulder City,NV,89005
2251,C T Sewell Elementary School,700 E. Lake Mead Pkwy.,Henderson,NV,89015
2252,Indian Springs Elementary School,400 Sky Rd.,Indian Springs,NV,89018
2253,Richard C Priest Elementary School,4150 Fuselier Dr.,N. Las Vegas,NV,89032
2254,Robert L Taylor Elementary School,144 Westminster Way,Henderson,NV,89015
2255,Virgin Valley Elementary School,200 Woodbury Ln.,Mesquite,NV,89027
2256,Whitney Elementary School,5005 Keenan Ave,Las Vegas,NV,89122
2257,William E Ferron Elementary School,4225 El Oro St.,Las Vegas,NV,89121
2258,Gene Ward Elementary School,1555 E. Hacienda Ave.,Las Vegas,NV,89119
2259,Cyril Wengert Elementary School,2001 Winterwood Blvd.,Las Vegas,NV,89142
2260,Myrtle Tate Elementary School,4150 E. Carey Ave.,Las Vegas,NV,89115
2261,Harley Harmon Elementary School,4820 E. Mesa Vista Ave.,Las Vegas,NV,89120
2262,George E Harris Elementary School,3850 E. Twain Ave.,Las Vegas,NV,89121
2263,P A Diskin Elementary School,4220 Ravenwood Dr.,Las Vegas,NV,89147
